                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.26902,                 5.6258,                0.14399,                 0.9764,                0.97693,                0.98001,                0.84165,                0.18838,                0.29738,                 0.0963,             9.5252e-05,             9.5252e-05,             9.5252e-05
                      2,                0.18952,                0.29737,                 0.0898,                  0.984,                0.98422,                0.98545,                0.87455,                0.17363,                0.25468,                0.08033,             0.00017172,             0.00017172,             0.00017172
                      3,                0.18018,                0.28676,                0.08504,                0.98287,                0.98508,                0.98408,                 0.8794,                0.16808,                0.24242,                0.07544,             0.00022931,             0.00022931,             0.00022931
                      4,                0.17255,                 0.2641,                0.07936,                0.99081,                0.98641,                0.98807,                0.88136,                0.17232,                0.23274,                0.07808,             0.00020106,             0.00020106,             0.00020106
                      5,                0.16381,                0.24716,                 0.0744,                 0.9945,                0.99004,                0.98969,                0.89427,                0.15696,                0.22161,                0.06558,             0.00017274,             0.00017274,             0.00017274
                      6,                0.15687,                0.23244,                0.07083,                 0.9952,                0.99072,                0.98909,                0.89486,                0.15565,                0.21678,                0.07118,             0.00014443,             0.00014443,             0.00014443
                      7,                0.15174,                0.22575,                0.06771,                0.99612,                0.99186,                 0.9904,                0.89905,                0.15215,                0.21009,                0.06694,             0.00011612,             0.00011612,             0.00011612
                      8,                0.14647,                0.21871,                0.06431,                0.99572,                0.99209,                0.98954,                 0.9079,                0.14509,                0.20416,                0.05931,             8.7802e-05,             8.7802e-05,             8.7802e-05
                      9,                0.14131,                0.21338,                 0.0614,                0.99572,                0.99149,                0.98962,                0.90331,                0.14795,                0.20732,                0.06379,             5.9488e-05,             5.9488e-05,             5.9488e-05
                     10,                0.13819,                0.20835,                0.05893,                0.99608,                0.99196,                0.98967,                0.90777,                0.14341,                0.20172,                0.05956,             3.1174e-05,             3.1174e-05,             3.1174e-05
